658,38,1068,18,1074,139,665,160
2155,25,2401,25,2401,135,2155,135
1552,30,1783,30,1783,140,1552,140
1803,30,2035,30,2035,140,1803,140
2040,30,2150,30,2150,140,2040,140
1075,40,1296,40,1296,140,1075,140
1311,65,1502,65,1502,135,1311,135
648,155,708,155,708,201,648,201
999,155,1120,155,1120,201,999,201
1854,155,1969,155,1969,201,1854,201
703,165,758,165,758,201,703,201
753,165,824,165,824,206,753,206
824,160,934,160,934,206,824,206
1125,160,1190,160,1190,206,1125,206
1185,165,1301,165,1301,201,1185,201
1391,165,1487,165,1487,201,1391,201
1557,165,1693,165,1693,201,1557,201
1698,165,1854,165,1854,201,1698,201
1974,165,2080,165,2080,201,1974,201
2080,165,2175,165,2175,201,2080,201
2211,165,2321,165,2321,201,2211,201
2321,165,2417,165,2417,201,2321,201
1306,170,1391,170,1391,201,1306,201
2100,748,2381,748,2381,839,2100,839
2392,749,2645,755,2642,845,2390,838
2653,758,2849,758,2849,844,2653,844
